"","PairLabel","Day","MinSec","MeanSec","Standardized","Seal.ID","Location","Version","Phase","AGE","Deployment","Seal.Number","SWS","REM","Days.Elapsed"
"523",525,1,87229,87638,9.36878170685092,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",36.74036531,3.921573419,1.0143287037037
"524",526,1,88706,88878.5,2.55090662580586,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",49.35857353,19.34942386,1.02868634259259
"525",527,1,90964,91084.5,11.1128615005608,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",38.94470679,3.504471534,1.05421875
"526",528,1,94797,95058,10.3318716371401,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",34.18403739,3.308600667,1.10020833333333
"527",529,1,96208,96517.5,16.6507276299462,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",37.15480636,2.231422385,1.11710069444444
"528",530,1,98435,98990,21.3016907320678,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",36.02354748,1.691112125,1.14571759259259
"529",531,1,100459,100971,10.8059577393866,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",22.45646763,2.078156159,1.16864583333333
"530",532,1,104324,104591.5,7.82611764396275,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",22.44645459,2.86814684,1.21054976851852
"531",533,1,105721,105890,3.28216054986208,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",15.01903067,4.575958562,1.2255787037037
"532",534,1,108775,109134,7.05046752924608,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",16.22766728,2.301644141,1.263125
"533",535,1,109938,110374.5,4.90377766112135,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",17.94825253,3.660086931,1.27748263888889
"534",536,1,116613,116739,3.16863283038539,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",17.00728363,5.367388568,1.35114583333333
"535",537,1,117855,118386,21.8464872667755,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",87.41430347,4.001297893,1.37020833333333
"536",538,1,119482,120070.5,10.4029852883369,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",72.91170837,7.008729355,1.38970486111111
"537",539,1,165975,166400,18.6066143228303,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",138.9786389,7.46931368,1.92592592592593
"538",540,1,167888,168307.5,19.8165045983997,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",138.5647209,6.992389612,1.94800347222222
"539",541,1,170483,171340,25.2571684033294,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",128.5714972,5.090495306,1.98310185185185
"540",542,2,173927,174012,9.22630770109522,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",47.42751774,5.140465642,2.01402777777778
"541",543,2,175740,176168.5,18.154872208947,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",95.75599903,5.274396753,2.03898726851852
"542",544,2,177124,177543.5,12.7503916631214,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",63.21525344,4.957906793,2.05490162037037
"543",545,2,178684,179208.5,15.2333878404634,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",51.71196536,3.394646411,2.0741724537037
"544",546,2,180493,180861,13.1855157571823,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",69.77343386,5.291672707,2.09329861111111
"545",547,2,186349,186417,5.01784268049042,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",33.62987422,6.702058307,2.15760416666667
"546",548,2,187041,187130,5.89032771885023,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",47.88630003,8.12964954,2.16585648148148
"547",549,2,188062,188341.5,9.7304617302773,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",46.18941534,4.746888341,2.17987847222222
"548",550,2,189680,189800.5,7.51286078565971,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",51.497608,6.854593672,2.1967650462963
"549",551,2,190119,190398,7.17443422784194,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",15.88365264,2.213924072,2.20368055555556
"550",552,2,191300,191601.5,14.6725621228616,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",36.46168859,2.485025334,2.2176099537037
"551",553,2,193254,193591.5,10.2410424089886,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",48.69852295,4.75523106,2.24064236111111
"552",554,2,194307,194648,10.059442421388,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",60.37161813,6.001487518,2.25287037037037
"553",555,2,196884,197196.5,15.7884251553643,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",48.59639699,3.077976208,2.28236689814815
"554",556,2,198731,199101,16.9772110607633,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",49.60522835,2.921871453,2.30440972222222
"555",557,2,200311,200732,7.73761093559417,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",33.61507762,4.344374239,2.32328703703704
"556",558,2,257401,258262,26.574947281774,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",236.2114056,8.888499499,2.98914351851852
"557",559,3,259757,260280,16.8827981559859,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",140.9955731,8.351433915,3.0125
"558",560,3,261485,261904,15.3897550855292,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",69.51575466,4.517015006,3.0312962962963
"559",561,3,262983,263899,20.8973911015105,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",60.38575995,2.889631517,3.05438657407407
"560",562,3,265302,266243.5,19.4990473557631,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",54.70691266,2.805619765,3.08152199074074
"561",563,3,267773,268035,9.53968460764431,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",33.66373569,3.528810131,3.10225694444444
"562",564,3,269290,269596.5,9.88697020064465,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",28.29425755,2.86177231,3.12032986111111
"563",565,3,270657,271109,9.96193573572059,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",27.44638706,2.75512589,3.13783564814815
"564",566,3,272289,272599.5,13.6432375207744,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",48.23294859,3.535300805,3.15508680555556
"565",567,3,273518,273818.5,20.0136410703784,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",44.19009983,2.207999018,3.16919560185185
"566",568,3,274593,275094,12.9815389046667,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",35.62154415,2.744015514,3.18395833333333
"567",569,3,276260,276606.5,7.44406795198521,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",36.84514844,4.949598617,3.20146412037037
"568",570,3,277864,278085.5,18.5816574106758,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",57.19565973,3.078070942,3.21858217592593
"569",571,3,278780,279632.5,24.098059385255,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",44.86314642,1.861691255,3.23648726851852
"570",572,3,281498,281838.5,13.264706295311,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",30.18447283,2.27554777,3.26201967592593
"571",573,3,282605,283044,6.79783591916602,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",15.49818164,2.279869921,3.27597222222222
"572",574,3,284189,284552,6.59644723923756,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",28.46189317,4.314730663,3.29342592592593
"573",575,3,333791,334265,6.69921774418055,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",107.5963099,16.06102593,3.86880787037037
"574",576,3,335199,335371,5.24774115426718,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",127.0340015,24.20736804,3.8816087962963
"575",577,3,338036,338402.5,28.4987459171658,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",98.29786279,3.449199592,3.91669560185185
"576",578,3,340885,341234,10.421963969524,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",48.95646796,4.697432087,3.94946759259259
"577",579,3,342231,343299,17.1053497772893,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",94.04853697,5.498194319,3.97336805555556
"578",581,4,346857,347536,22.3743399593484,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",103.1137273,4.608570688,4.02240740740741
"579",582,4,349060,349507.5,14.8553220521059,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",64.18174393,4.320454562,4.04522569444444
"580",583,4,355735,356183,12.4131972313341,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",39.94675523,3.218087531,4.12248842592593
"581",584,4,358331,358645,13.3907922690269,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",39.55834026,2.954144868,4.1509837962963
"582",585,4,360138,360683.5,12.8788928937346,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",60.18756357,4.673349182,4.1745775462963
"583",586,4,361649,362255,17.4022087182471,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",68.69958948,3.94775115,4.1927662037037
"584",587,4,363228,363439.5,8.91040978993738,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",41.85181479,4.696957354,4.20647569444444
"585",588,4,366325,368594.5,12.9245585258966,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",73.78230901,5.708690851,4.2661400462963
"586",589,4,372026,372112,6.86485872332428,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",34.02065138,4.955768611,4.30685185185185
"587",590,4,407746,408095,17.2963812075775,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",165.4972772,9.56831809,4.72332175925926
"588",591,4,409094,409224,4.1130078220488,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",145.4057136,35.35264699,4.73638888888889
"589",592,4,409645,409812,7.43236830182718,"test32_GoodnightGerty","LAND","V3","LAND01","(0,1]","10","19",65.31231337,8.787550713,4.74319444444444
"590",593,0,23653,37841,6.53766124305826,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",30.25934226,4.62846592,0.437974537037037
"591",594,0,65286,72837,11.8590095762291,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",24.94222917,2.103230376,0.843020833333333
"592",595,0,80098,80239.5,10.8024835800456,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",29.25187128,2.707883892,0.928697916666667
"593",596,1,90107,90245.5,13.8351796286129,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",38.17470128,2.759248691,1.04450810185185
"594",597,1,159234,159966.5,9.52478092025257,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",28.13482686,2.953855537,1.85146412037037
"595",598,1,169031,169123.5,11.3548023732612,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",27.00246669,2.378065756,1.95744791666667
"596",599,1,170809,170888,12.2560043226344,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",33.0995334,2.700678992,1.97787037037037
"597",600,2,249970,250083.5,12.9378514181753,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",28.46143284,2.19985776,2.8944849537037
"598",601,2,251258,252209.5,7.0694228474419,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",31.51129314,4.457406753,2.91909143518519
"599",602,3,305132,305305.5,10.1568726401308,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",25.07678255,2.468947228,3.53362847222222
"600",603,3,331243,331326.5,3.5605267699044,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",13.05583307,3.666826263,3.8347974537037
"601",604,3,339721,339769,7.07960275067887,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",18.40632923,2.599909893,3.93251157407407
"602",605,3,343796,344000.5,2.50732564928561,"test33_HypoactiveHeidi","WATER","V3","WATER01","(2,3]","11","23",9.431025186,3.76138823,3.98148726851852
"603",606,0,15190,15522,3.34841100167138,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",55.04524803,16.4392149,0.179652777777778
"604",607,0,16567,16895.5,2.32874055035273,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",63.06551056,27.0813812,0.195549768518519
"605",608,0,19034,19093,13.6793758992091,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",59.60963404,4.35762819,0.220983796296296
"606",609,0,20208,20952.5,1.91701723964548,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",23.25054246,12.12849941,0.242505787037037
"607",610,0,24099,24201,15.1250048746127,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",55.38479913,3.661803721,0.280104166666667
"608",611,0,25011,25519.5,10.042637752831,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",155.7917316,15.51302909,0.295364583333333
"609",612,0,27216,27371,23.8958425434534,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",95.85119731,4.011208106,0.316793981481481
"610",613,0,27923,28023.5,16.8625915347935,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",77.47911063,4.594733287,0.324346064814815
"611",614,0,30290,30641,5.65434154389539,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",32.68486876,5.780490709,0.354641203703704
"612",615,0,31762,32188.5,15.9020186152609,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",186.0619953,11.70052682,0.372552083333333
"613",616,0,33946,34016,22.3237101916001,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",136.9615484,6.135250244,0.393703703703704
"614",617,0,34836,34945.5,23.6754343958093,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",110.7924891,4.679639125,0.404461805555556
"615",618,0,35514,36145,5.53398651978893,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",123.5345605,22.32288786,0.418344907407407
"616",619,0,43092,43171,12.5813357430472,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",69.30492979,5.508551016,0.499664351851852
"617",620,0,43825,44311.5,17.2078822058728,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",182.6479348,10.61420183,0.512864583333333
"618",621,0,45353,45955.5,28.9847618386849,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",224.5636236,7.747644257,0.531892361111111
"619",622,0,47383,48104.5,21.5000677970184,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",250.9624916,11.67263722,0.556765046296296
"620",623,0,50054,50505,6.7800962466366,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",131.6575158,19.418237,0.584548611111111
"621",624,0,52172,52567,13.1877427670563,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",131.458899,9.968263813,0.608414351851852
"622",625,0,53806,54321,6.60398756894724,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",78.31925205,11.85938817,0.628715277777778
"623",626,0,56216,56541,6.80239604710694,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",98.68145841,14.50686754,0.654409722222222
"624",627,0,57936,58438,8.43670781208958,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",79.38456031,9.409423922,0.676365740740741
"625",628,0,59802,60611,10.3360365019992,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",84.57971331,8.1829929,0.701516203703704
"626",629,0,62786,64008,14.0341543075112,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",86.58801216,6.169806193,0.740833333333333
"627",630,0,66422,66551,5.18827471925072,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",32.66206412,6.295361346,0.770266203703704
"628",631,0,68266,68410,4.54099749113287,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",97.60463433,21.49409563,0.791782407407407
"629",632,0,69234,70003,16.8267852114979,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",120.0778779,7.136115211,0.810219907407407
"630",633,0,78252,79205,1.95585693595944,"test34_IndolentIzzy","LAND","V3","LAND02","(1,2]","12","21",15.27000927,7.807324242,0.916724537037037
