"description","value","TestID","R.Time","Matlab.Time"
"TOPP.ID","2020045","test20_SnoozySuzy",NA,NA
"Deploy.Latitude","37.113761","test20_SnoozySuzy",NA,NA
"Deploy.Longitude","-122.327811","test20_SnoozySuzy",NA,NA
"Initial.sedation.location","APG","test20_SnoozySuzy",NA,NA
"Blood","Yes","test20_SnoozySuzy",NA,NA
"Hematocrit","58 / 58 / 57 / broke","test20_SnoozySuzy",NA,NA
"Whisker","N","test20_SnoozySuzy",NA,NA
"Fur","N","test20_SnoozySuzy",NA,NA
"Blubber","N","test20_SnoozySuzy",NA,NA
"Recording.Duration_s","361858.448","test20_SnoozySuzy",NA,NA
"Recording.Duration_days","4.188176481","test20_SnoozySuzy",NA,NA
"Begin.Calm.in.Water.for.ICA","4/12/2020 9:34","test20_SnoozySuzy",NA,NA
"End.Calm.in.Water.for.ICA","4/12/2020 9:47","test20_SnoozySuzy",NA,NA
"Duration.for.ICA","0:12:38","test20_SnoozySuzy",NA,NA
"Best.EOG.EMG.EEG","3,4,7,8","test20_SnoozySuzy",NA,NA
"ICA.Decomposition.Quality","Good","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Brain","6","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Heart","1","test20_SnoozySuzy",NA,NA
"Pruned.with.ICA.Components","1,2,3,4","test20_SnoozySuzy",NA,NA
"Recording.ID","WILD_2yr-juvenile","test21_DozyDaisy",NA,NA
"Seal.Number","21","test21_DozyDaisy",NA,NA
"Sex","F","test21_DozyDaisy",NA,NA
"Age","(2,3]","test21_DozyDaisy",NA,NA
"Age.Estimate","2.2 years old","test21_DozyDaisy",NA,NA
"Version","V2","test21_DozyDaisy",NA,NA
"Deployment","3","test21_DozyDaisy",NA,NA
"Seal.ID","E411","test21_DozyDaisy",NA,NA
"Pressed.Start.Logger","4/24/2020 16:59","test21_DozyDaisy",NA,NA
"Logger.Start","4/24/2020 17:00","test21_DozyDaisy",NA,NA
"Start.for.EDF.Files","00:01.0","test21_DozyDaisy",NA,NA
"ON.ANIMAL","4/25/2020 11:14","test21_DozyDaisy",NA,NA
"OFF.ANIMAL","4/28/2020 14:24","test21_DozyDaisy",NA,NA
"Logger.Stop","4/28/2020 17:55","test21_DozyDaisy",NA,NA
"Device.Failure","No","test21_DozyDaisy",NA,NA
"Standard.Length","187","test21_DozyDaisy",NA,NA
"Curved.Length","200","test21_DozyDaisy",NA,NA
"Ax.Girth","102","test21_DozyDaisy",NA,NA
"Mass.animal._kg","around 120","test21_DozyDaisy",NA,NA
"Flipper.Tag.1","GE411","test21_DozyDaisy",NA,NA
"Position","L-iu-So","test21_DozyDaisy",NA,NA
"Flipper.Tag.2","GG751","test21_DozyDaisy",NA,NA
"Position.1","R-ou-Si","test21_DozyDaisy",NA,NA
"Mark","E411","test21_DozyDaisy",NA,NA
"Mark.Position","R,L","test21_DozyDaisy",NA,NA
"Birth.date","in 2018","test21_DozyDaisy",NA,NA
"Wean.date","unknown","test21_DozyDaisy",NA,NA
"Tagged.date","unknown","test21_DozyDaisy",NA,NA
"Wean.weight_kg","unknown","test21_DozyDaisy",NA,NA
"Weaner.ID","not recorded","test21_DozyDaisy",NA,NA
"Wean.Standard.Length","unknown","test21_DozyDaisy",NA,NA
"Wean.Ax.Girth","unknown","test21_DozyDaisy",NA,NA
"Animal.ID","49677","test21_DozyDaisy",NA,NA
"Deployment.Resight.ID","348614","test21_DozyDaisy",NA,NA
"Deploy.ID","NESE0841ANNU","test21_DozyDaisy",NA,NA
"TOPP.ID","2020046","test21_DozyDaisy",NA,NA
"Deploy.Latitude","37.113761","test21_DozyDaisy",NA,NA
"Deploy.Longitude","-122.327811","test21_DozyDaisy",NA,NA
"Initial.sedation.location","BBN","test21_DozyDaisy",NA,NA
"Blood","Yes","test21_DozyDaisy",NA,NA
"Whisker","Y - LD1","test21_DozyDaisy",NA,NA
"Fur","N","test21_DozyDaisy",NA,NA
"Blubber","N","test21_DozyDaisy",NA,NA
"Ultrasound.skull.depth_cm","2.5","test21_DozyDaisy",NA,NA
"Recording.Duration_s","348857.656","test21_DozyDaisy",NA,NA
"Recording.Duration_days","4.037704352","test21_DozyDaisy",NA,NA
"Recording.Duration_based.on.start.stop","4.038194444","test21_DozyDaisy",NA,NA
"Begin.Calm.in.Water.for.ICA","4/27/2020 7:35","test21_DozyDaisy",NA,NA
"End.Calm.in.Water.for.ICA","4/27/2020 7:42","test21_DozyDaisy",NA,NA
"Duration.for.ICA","0:07:28","test21_DozyDaisy",NA,NA
"Best.EOG.EMG.EEG","3,5,7,8","test21_DozyDaisy",NA,NA
"ICA.Decomposition.Quality","OK","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Brain","7","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Heart","2","test21_DozyDaisy",NA,NA
"Pruned.with.ICA.Components","1,2,3,9","test21_DozyDaisy",NA,NA
"Recording.ID","CAPTIVE_2yr-juvenile","test23_AshyAshley",NA,NA
"Seal.Number","14","test23_AshyAshley",NA,NA
"Sex","F","test23_AshyAshley",NA,NA
"Age","(1,2]","test23_AshyAshley",NA,NA
"Age.Estimate","1.8 years old","test23_AshyAshley",NA,NA
"Version","V2","test23_AshyAshley",NA,NA
"Deployment","4","test23_AshyAshley",NA,NA
"Seal.ID","E710","test23_AshyAshley",NA,NA
"Pressed.Start.Logger","9/26/2020 15:59","test23_AshyAshley",NA,NA
"Logger.Start","9/26/2020 16:00","test23_AshyAshley",NA,NA
"Start.for.EDF.Files","59:59.2","test23_AshyAshley",NA,NA
"ON.ANIMAL","9/27/2020 13:04","test23_AshyAshley",NA,NA
"OFF.ANIMAL","10/2/2020 9:55","test23_AshyAshley",NA,NA
"Logger.Stop","10/2/2020 11:05","test23_AshyAshley",NA,NA
"Device.Failure","No","test23_AshyAshley",NA,NA
"Standard.Length","188","test23_AshyAshley",NA,NA
"Curved.Length","199","test23_AshyAshley",NA,NA
"Ax.Girth","124","test23_AshyAshley",NA,NA
"Mass.with.cage_kg","222","test23_AshyAshley",NA,NA
"Mass.cage_kg","81","test23_AshyAshley",NA,NA
"Mass.animal._kg","141","test23_AshyAshley",NA,NA
"Flipper.Tag.1","GE711","test23_AshyAshley",NA,NA
"Position","R-iu-Si","test23_AshyAshley",NA,NA
"Flipper.Tag.2","GE710","test23_AshyAshley",NA,NA
"Position.1","L-il-Si","test23_AshyAshley",NA,NA
"Mark","E711","test23_AshyAshley",NA,NA
"Mark.Position","R","test23_AshyAshley",NA,NA
"Birth.date","1/11/2019 (first sighting)","test23_AshyAshley",NA,NA
"Wean.date","2/7/2019 0:00","test23_AshyAshley",NA,NA
"Tagged.date","2/11/2019 0:00","test23_AshyAshley",NA,NA
"Wean.weight_kg","137","test23_AshyAshley",NA,NA
"Weaner.ID","513","test23_AshyAshley",NA,NA
"Wean.Standard.Length","148","test23_AshyAshley",NA,NA
"Wean.Ax.Girth","131","test23_AshyAshley",NA,NA
"Animal.ID","49965","test23_AshyAshley",NA,NA
"Deployment.Resight.ID","323448","test23_AshyAshley",NA,NA
"Deploy.ID","NESE0005LOML","test23_AshyAshley",NA,NA
"TOPP.ID","2020047","test23_AshyAshley",NA,NA
"Deploy.Latitude","36.948644","test23_AshyAshley",NA,NA
"Deploy.Longitude","-122.065416","test23_AshyAshley",NA,NA
"Initial.sedation.location","BBN","test23_AshyAshley",NA,NA
"Blood","Yes","test23_AshyAshley",NA,NA
"Hematocrit","52 / 52 / 52 / 52","test23_AshyAshley",NA,NA
"Whisker","N","test23_AshyAshley",NA,NA
"Fur","N","test23_AshyAshley",NA,NA
"Blubber","N","test23_AshyAshley",NA,NA
"Ultrasound.skull.depth_cm","2.01","test23_AshyAshley",NA,NA
"Recording.Duration_s","500603.236","test23_AshyAshley",NA,NA
"Recording.Duration_days","5.794018935","test23_AshyAshley",NA,NA
"Recording.Duration_based.on.start.stop","5.795138889","test23_AshyAshley",NA,NA
"Begin.Calm.in.Water.for.ICA","10/1/2020 4:36","test23_AshyAshley",NA,NA
"End.Calm.in.Water.for.ICA","10/1/2020 4:54","test23_AshyAshley",NA,NA
"Duration.for.ICA","0:17:54","test23_AshyAshley",NA,NA
"Best.EOG.EMG.EEG","2,4,7,8","test23_AshyAshley",NA,NA
"ICA.Decomposition.Quality","Good","test23_AshyAshley",NA,NA
"ICA.Component.Maximal.Brain","8","test23_AshyAshley",NA,NA
"ICA.Component.Maximal.Heart","3","test23_AshyAshley",NA,NA
"Pruned.with.ICA.Components","1,2,3,6","test23_AshyAshley",NA,NA
"Recording.ID","CAPTIVE_2yr-juvenile","test24_BerthaBeauty",NA,NA
"Seal.Number","15","test24_BerthaBeauty",NA,NA
"Sex","F","test24_BerthaBeauty",NA,NA
"Age","(1,2]","test24_BerthaBeauty",NA,NA
"Age.Estimate","1.8 years old","test24_BerthaBeauty",NA,NA
"Version","V2","test24_BerthaBeauty",NA,NA
"Deployment","5","test24_BerthaBeauty",NA,NA
"Seal.ID","WN428","test24_BerthaBeauty",NA,NA
"Pressed.Start.Logger","10/8/2020 11:58","test24_BerthaBeauty",NA,NA
"Logger.Start","10/8/2020 11:59","test24_BerthaBeauty",NA,NA
"Start.for.EDF.Files","58:59.0","test24_BerthaBeauty",NA,NA
"ON.ANIMAL","10/9/2020 13:44","test24_BerthaBeauty",NA,NA
"OFF.ANIMAL","10/14/2020 9:35","test24_BerthaBeauty",NA,NA
"Logger.Stop","10/14/2020 9:58","test24_BerthaBeauty",NA,NA
"Device.Failure","No","test24_BerthaBeauty",NA,NA
"Standard.Length","206","test24_BerthaBeauty",NA,NA
"Curved.Length","216","test24_BerthaBeauty",NA,NA
"Ax.Girth","147","test24_BerthaBeauty",NA,NA
"Mass.with.cage_kg","277","test24_BerthaBeauty",NA,NA
"Mass.cage_kg","81","test24_BerthaBeauty",NA,NA
"Mass.animal._kg","196","test24_BerthaBeauty",NA,NA
"Flipper.Tag.1","WN428","test24_BerthaBeauty",NA,NA
"Position","R-iu-So","test24_BerthaBeauty",NA,NA
"Flipper.Tag.2","GH588","test24_BerthaBeauty",NA,NA
"Position.1","L-ou-So","test24_BerthaBeauty",NA,NA
"Mark","H588 {R,L}","test24_BerthaBeauty",NA,NA
"Mark.Position","R, L","test24_BerthaBeauty",NA,NA
"Birth.date","~ Jan 2019","test24_BerthaBeauty",NA,NA
"Wean.date","~ March 2019","test24_BerthaBeauty",NA,NA
"Tagged.date","3/1/2019 0:00","test24_BerthaBeauty",NA,NA
"Wean.weight_kg","unknown","test24_BerthaBeauty",NA,NA
"Weaner.ID","not recorded","test24_BerthaBeauty",NA,NA
"Wean.Standard.Length","unknown","test24_BerthaBeauty",NA,NA
"Wean.Ax.Girth","unknown","test24_BerthaBeauty",NA,NA
"Animal.ID","51213","test24_BerthaBeauty",NA,NA
"Deployment.Resight.ID","353048 (capture)","test24_BerthaBeauty",NA,NA
"Deploy.ID","NESE0006LOML","test24_BerthaBeauty",NA,NA
"TOPP.ID","2020048","test24_BerthaBeauty",NA,NA
"Deploy.Latitude","36.948644","test24_BerthaBeauty",NA,NA
"Deploy.Longitude","-122.065416","test24_BerthaBeauty",NA,NA
"Initial.sedation.location","BBN","test24_BerthaBeauty",NA,NA
"Blood","Yes","test24_BerthaBeauty",NA,NA
"Hematocrit","52 / 52 / 52 / 51","test24_BerthaBeauty",NA,NA
"Whisker","N","test24_BerthaBeauty",NA,NA
"Fur","N","test24_BerthaBeauty",NA,NA
"Blubber","N","test24_BerthaBeauty",NA,NA
"Ultrasound.skull.depth_cm","1.96","test24_BerthaBeauty",NA,NA
"Recording.Duration_s","511107.128","test24_BerthaBeauty",NA,NA
"Recording.Duration_days","5.915591759","test24_BerthaBeauty",NA,NA
"Recording.Duration_based.on.start.stop","5.915972222","test24_BerthaBeauty",NA,NA
"Begin.Calm.in.Water.for.ICA","10/11/2020 19:54","test24_BerthaBeauty",NA,NA
"End.Calm.in.Water.for.ICA","10/11/2020 20:04","test24_BerthaBeauty",NA,NA
"Duration.for.ICA","0:09:31","test24_BerthaBeauty",NA,NA
"Best.EOG.EMG.EEG","3,4,7,8","test24_BerthaBeauty",NA,NA
"ICA.Decomposition.Quality","OK","test24_BerthaBeauty",NA,NA
"ICA.Component.Maximal.Brain","8","test24_BerthaBeauty",NA,NA
"ICA.Component.Maximal.Heart","3","test24_BerthaBeauty",NA,NA
"Pruned.with.ICA.Components","1,3,4,7","test24_BerthaBeauty",NA,NA
"Recording.ID","CAPTIVE_2yr-juvenile","test25_ComaCourtney",NA,NA
"Seal.Number","16","test25_ComaCourtney",NA,NA
"Sex","F","test25_ComaCourtney",NA,NA
"Age","(1,2]","test25_ComaCourtney",NA,NA
"Age.Estimate","1.8 years old","test25_ComaCourtney",NA,NA
"Version","V2","test25_ComaCourtney",NA,NA
"Deployment","6","test25_ComaCourtney",NA,NA
"Seal.ID","WN159","test25_ComaCourtney",NA,NA
"Pressed.Start.Logger","10/16/2020 14:45","test25_ComaCourtney",NA,NA
"Logger.Start","10/16/2020 14:46","test25_ComaCourtney",NA,NA
"Start.for.EDF.Files","45:58.6","test25_ComaCourtney",NA,NA
"ON.ANIMAL","10/17/2020 19:50","test25_ComaCourtney",NA,NA
"Logger.Stop","not recorded - off","test25_ComaCourtney",NA,NA
"Device.Failure","Yes","test25_ComaCourtney",NA,NA
"Standard.Length","206","test25_ComaCourtney",NA,NA
"Curved.Length","220","test25_ComaCourtney",NA,NA
"Ax.Girth","129","test25_ComaCourtney",NA,NA
"Mass.with.cage_kg","258","test25_ComaCourtney",NA,NA
"Mass.cage_kg","81","test25_ComaCourtney",NA,NA
"Mass.animal._kg","177","test25_ComaCourtney",NA,NA
"Flipper.Tag.1","WN159","test25_ComaCourtney",NA,NA
