"description","value","TestID","R.Time","Matlab.Time"
"Animal.ID","53631","test30_ExhaustedEllie",NA,NA
"Deployment.Resight.ID","369160","test30_ExhaustedEllie",NA,NA
"Recovery.Resight.ID","375880","test30_ExhaustedEllie",NA,NA
"Deploy.ID","0","test30_ExhaustedEllie",NA,NA
"TOPP.ID","2021041","test30_ExhaustedEllie",NA,NA
"Deploy.Time","4/4/2021 23:00","test30_ExhaustedEllie",NA,NA
"Deploy.Latitude","36.95309","test30_ExhaustedEllie",NA,NA
"Deploy.Longitude","-122.064361","test30_ExhaustedEllie",NA,NA
"Initial.sedation.location","TSC","test30_ExhaustedEllie",NA,NA
"Blood","Yes","test30_ExhaustedEllie",NA,NA
"Hematocrit","50 / 49 / 50 / 50","test30_ExhaustedEllie",NA,NA
"Whisker","N","test30_ExhaustedEllie",NA,NA
"Fur","N","test30_ExhaustedEllie",NA,NA
"Blubber","N","test30_ExhaustedEllie",NA,NA
"Ultrasound.skull.depth_cm","2.2","test30_ExhaustedEllie",NA,NA
"Recording.Duration_s","517957.272","test30_ExhaustedEllie",NA,NA
"Recording.Duration_days","5.994875833","test30_ExhaustedEllie",NA,NA
"Recording.Duration_based.on.start.stop","5.995486111","test30_ExhaustedEllie",NA,NA
"Begin.Calm.in.Water.for.ICA","336187-336515","test30_ExhaustedEllie",NA,NA
"Best.EOG.EMG.EEG","3,5,7,8","test30_ExhaustedEllie",NA,NA
"ICA.Decomposition.Quality","OK","test30_ExhaustedEllie",NA,NA
"ICA.Component.Maximal.Brain","8","test30_ExhaustedEllie",NA,NA
"ICA.Component.Maximal.Heart","1","test30_ExhaustedEllie",NA,NA
"Pruned.with.ICA.Components","1,3,7","test30_ExhaustedEllie",NA,NA
"Recording.ID","WILD_2yr-juvenile","test31_FatiguedFiona",NA,NA
"Seal.Number","22","test31_FatiguedFiona",NA,NA
"Sex","F","test31_FatiguedFiona",NA,NA
"Age","(2,3]","test31_FatiguedFiona",NA,NA
"Age.Estimate","probable 2.2 year old","test31_FatiguedFiona",NA,NA
"Version","V3","test31_FatiguedFiona",NA,NA
"Deployment","9","test31_FatiguedFiona",NA,NA
"Seal.ID","H645","test31_FatiguedFiona",NA,NA
"Pressed.Start.Logger","4/4/2021 14:30","test31_FatiguedFiona",NA,NA
"Logger.Start","4/4/2021 14:31","test31_FatiguedFiona",NA,NA
"Start.from.Real.Time.Clock","4/3/2021 14:31","test31_FatiguedFiona",NA,NA
"Start.for.EDF.Files","4/4/2021 14:31","test31_FatiguedFiona",NA,NA
"ON.ANIMAL","4/5/2021 9:34","test31_FatiguedFiona",NA,NA
"OFF.ANIMAL","4/9/2021 12:23","test31_FatiguedFiona",NA,NA
"Logger.Stop","4/9/2021 15:54","test31_FatiguedFiona",NA,NA
"Device.Failure","No","test31_FatiguedFiona",NA,NA
"Standard.Length","177","test31_FatiguedFiona",NA,NA
"Curved.Length","187","test31_FatiguedFiona",NA,NA
"Ax.Girth","134","test31_FatiguedFiona",NA,NA
"Mass.with.cage_kg","173","test31_FatiguedFiona",NA,NA
"Mass.cage_kg","19","test31_FatiguedFiona",NA,NA
"Mass.animal._kg","154","test31_FatiguedFiona",NA,NA
"Flipper.Tag.1","GH645","test31_FatiguedFiona",NA,NA
"Position","L-iu-So","test31_FatiguedFiona",NA,NA
"Flipper.Tag.2","GH657","test31_FatiguedFiona",NA,NA
"Position.1","R-ou-Si","test31_FatiguedFiona",NA,NA
"Mark","0","test31_FatiguedFiona",NA,NA
"Mark.Position","0","test31_FatiguedFiona",NA,NA
"Animal.ID","53815","test31_FatiguedFiona",NA,NA
"Deployment.Resight.ID","371454","test31_FatiguedFiona",NA,NA
"Recovery.Resight.ID","371457","test31_FatiguedFiona",NA,NA
"Deploy.ID","0","test31_FatiguedFiona",NA,NA
"TOPP.ID","2021042","test31_FatiguedFiona",NA,NA
"Deploy.Time","4/4/2021 23:00","test31_FatiguedFiona",NA,NA
"Deploy.Latitude","36.95309","test31_FatiguedFiona",NA,NA
"Deploy.Longitude","-122.064361","test31_FatiguedFiona",NA,NA
"Initial.sedation.location","TSC","test31_FatiguedFiona",NA,NA
"Blood","Yes","test31_FatiguedFiona",NA,NA
"Hematocrit","48 / 48 / 47 / 48","test31_FatiguedFiona",NA,NA
"Whisker","N","test31_FatiguedFiona",NA,NA
"Fur","N","test31_FatiguedFiona",NA,NA
"Blubber","N","test31_FatiguedFiona",NA,NA
"Ultrasound.skull.depth_cm","2.06","test31_FatiguedFiona",NA,NA
"Recording.Duration_s","436980.544","test31_FatiguedFiona",NA,NA
"Recording.Duration_days","5.057645185","test31_FatiguedFiona",NA,NA
"Recording.Duration_based.on.start.stop","5.057638889","test31_FatiguedFiona",NA,NA
"Begin.Calm.in.Water.for.ICA","4/5/2021 16:35","test31_FatiguedFiona",NA,NA
"End.Calm.in.Water.for.ICA","4/5/2021 16:45","test31_FatiguedFiona",NA,NA
"Best.EOG.EMG.EEG","2,4,7,8","test31_FatiguedFiona",NA,NA
"ICA.Decomposition.Quality","Good","test31_FatiguedFiona",NA,NA
"ICA.Component.Maximal.Brain","8","test31_FatiguedFiona",NA,NA
"ICA.Component.Maximal.Heart","7","test31_FatiguedFiona",NA,NA
"Pruned.with.ICA.Components","1,2,4,7,9","test31_FatiguedFiona",NA,NA
"Recording.ID","WILD_2mo-weanling","test32_GoodnightGerty",NA,NA
"Seal.Number","19","test32_GoodnightGerty",NA,NA
"Sex","F","test32_GoodnightGerty",NA,NA
"Age","(0,1]","test32_GoodnightGerty",NA,NA
"Age.Estimate","~2 months old","test32_GoodnightGerty",NA,NA
"Version","V3","test32_GoodnightGerty",NA,NA
"Deployment","44296.8","test32_GoodnightGerty",NA,NA
"Seal.ID","H644","test32_GoodnightGerty",NA,NA
"Pressed.Start.Logger","4/10/2021 19:11","test32_GoodnightGerty",NA,NA
"Logger.Start","4/10/2021 19:12","test32_GoodnightGerty",NA,NA
"Start.from.Real.Time.Clock","4/9/2021 19:12","test32_GoodnightGerty",NA,NA
"Start.for.EDF.Files","4/10/2021 19:12","test32_GoodnightGerty",NA,NA
"ON.ANIMAL","4/11/2021 10:47","test32_GoodnightGerty",NA,NA
"OFF.ANIMAL","4/16/2021 10:50","test32_GoodnightGerty",NA,NA
"Logger.Stop","4/16/2021 14:21","test32_GoodnightGerty",NA,NA
"Device.Failure","No","test32_GoodnightGerty",NA,NA
"Standard.Length","151","test32_GoodnightGerty",NA,NA
"Curved.Length","167","test32_GoodnightGerty",NA,NA
"Ax.Girth","129","test32_GoodnightGerty",NA,NA
"Mass.with.cage_kg","137","test32_GoodnightGerty",NA,NA
"Mass.cage_kg","19","test32_GoodnightGerty",NA,NA
"Mass.animal._kg","118","test32_GoodnightGerty",NA,NA
"Flipper.Tag.1","GH644","test32_GoodnightGerty",NA,NA
"Position","L-ou-So","test32_GoodnightGerty",NA,NA
"Flipper.Tag.2","GH651","test32_GoodnightGerty",NA,NA
"Position.1","R-iu-So","test32_GoodnightGerty",NA,NA
"Mark","GH644","test32_GoodnightGerty",NA,NA
"Mark.Position","R,L","test32_GoodnightGerty",NA,NA
"Birth.date","0","test32_GoodnightGerty",NA,NA
"Wean.weight_kg","0","test32_GoodnightGerty",NA,NA
"Weaner.ID","0","test32_GoodnightGerty",NA,NA
"Wean.Standard.Length","0","test32_GoodnightGerty",NA,NA
"Wean.Ax.Girth","0","test32_GoodnightGerty",NA,NA
"Animal.ID","53832","test32_GoodnightGerty",NA,NA
"Deployment.Resight.ID","372774","test32_GoodnightGerty",NA,NA
"Recovery.Resight.ID","372778","test32_GoodnightGerty",NA,NA
"Deploy.ID","0","test32_GoodnightGerty",NA,NA
"TOPP.ID","2021043","test32_GoodnightGerty",NA,NA
"Deploy.Time","4/10/2021 23:58","test32_GoodnightGerty",NA,NA
"Deploy.Latitude","36.95309","test32_GoodnightGerty",NA,NA
"Deploy.Longitude","-122.064361","test32_GoodnightGerty",NA,NA
"Initial.sedation.location","MBBL","test32_GoodnightGerty",NA,NA
"Blood","Yes","test32_GoodnightGerty",NA,NA
"Hematocrit","48 / 48 / 47 / 47","test32_GoodnightGerty",NA,NA
"Whisker","N","test32_GoodnightGerty",NA,NA
"Fur","N","test32_GoodnightGerty",NA,NA
"Blubber","N","test32_GoodnightGerty",NA,NA
"Ultrasound.skull.depth_cm","2.33","test32_GoodnightGerty",NA,NA
"Recording.Duration_s","0","test32_GoodnightGerty",NA,NA
"Recording.Duration_days","0","test32_GoodnightGerty",NA,NA
"Recording.Duration_based.on.start.stop","5.797916667","test32_GoodnightGerty",NA,NA
"Begin.Calm.in.Water.for.ICA","4/13/2021 9:23","test32_GoodnightGerty",NA,NA
"End.Calm.in.Water.for.ICA","4/13/2021 9:43","test32_GoodnightGerty",NA,NA
"Best.EOG.EMG.EEG","3,5,6,7","test32_GoodnightGerty",NA,NA
"ICA.Decomposition.Quality","Good","test32_GoodnightGerty",NA,NA
"ICA.Component.Maximal.Brain","6","test32_GoodnightGerty",NA,NA
"ICA.Component.Maximal.Heart","1","test32_GoodnightGerty",NA,NA
"Pruned.with.ICA.Components","1,3,5","test32_GoodnightGerty",NA,NA
"Recording.ID","WILD_1yr-juvenile","test34_IndolentIzzy",NA,NA
"Seal.Number","20","test34_IndolentIzzy",NA,NA
"Sex","F","test34_IndolentIzzy",NA,NA
"Age","(1,2]","test34_IndolentIzzy",NA,NA
"Age.Estimate","~1.2 years old","test34_IndolentIzzy",NA,NA
"Version","V3","test34_IndolentIzzy",NA,NA
"Deployment","12","test34_IndolentIzzy",NA,NA
"Seal.ID","H938","test34_IndolentIzzy",NA,NA
"Pressed.Start.Logger","4/26/2021 16:54","test34_IndolentIzzy",NA,NA
"Logger.Start","4/26/2021 16:55","test34_IndolentIzzy",NA,NA
"Start.from.Real.Time.Clock","4/25/2021 16:55","test34_IndolentIzzy",NA,NA
"Start.for.EDF.Files","4/26/2021 16:55","test34_IndolentIzzy",NA,NA
"ON.ANIMAL","4/27/2021 10:48","test34_IndolentIzzy",NA,NA
"OFF.ANIMAL","5/2/2021 9:59","test34_IndolentIzzy",NA,NA
"Logger.Stop","5/2/2021 12:52","test34_IndolentIzzy",NA,NA
"Device.Failure","No","test34_IndolentIzzy",NA,NA
"Standard.Length","170","test34_IndolentIzzy",NA,NA
"Curved.Length","191","test34_IndolentIzzy",NA,NA
"Ax.Girth","140","test34_IndolentIzzy",NA,NA
"Mass.with.cage_kg","175","test34_IndolentIzzy",NA,NA
"Mass.cage_kg","18","test34_IndolentIzzy",NA,NA
"Mass.animal._kg","157","test34_IndolentIzzy",NA,NA
"Flipper.Tag.1","GH938","test34_IndolentIzzy",NA,NA
"Position","R-iu-Si","test34_IndolentIzzy",NA,NA
"Flipper.Tag.2","GH939","test34_IndolentIzzy",NA,NA
"Position.1","L-ou-So","test34_IndolentIzzy",NA,NA
"Mark","H938","test34_IndolentIzzy",NA,NA
"Mark.Position","L,R","test34_IndolentIzzy",NA,NA
"Birth.date","0","test34_IndolentIzzy",NA,NA
"Wean.weight_kg","0","test34_IndolentIzzy",NA,NA
"Weaner.ID","0","test34_IndolentIzzy",NA,NA
"Wean.Standard.Length","0","test34_IndolentIzzy",NA,NA
"Wean.Ax.Girth","0","test34_IndolentIzzy",NA,NA
"Animal.ID","53848","test34_IndolentIzzy",NA,NA
"Deployment.Resight.ID","374824","test34_IndolentIzzy",NA,NA
"Recovery.Resight.ID","375131","test34_IndolentIzzy",NA,NA
"Deploy.ID","0","test34_IndolentIzzy",NA,NA
"TOPP.ID","2021045","test34_IndolentIzzy",NA,NA
"Deploy.Time","4/26/2021 21:50","test34_IndolentIzzy",NA,NA
"Deploy.Latitude","36.95309","test34_IndolentIzzy",NA,NA
"Deploy.Longitude","-122.064361","test34_IndolentIzzy",NA,NA
"Initial.sedation.location","BBSU","test34_IndolentIzzy",NA,NA
"Blood","Yes","test34_IndolentIzzy",NA,NA
"Hematocrit","49 / 50 / 49 / 48","test34_IndolentIzzy",NA,NA
"Whisker","N","test34_IndolentIzzy",NA,NA
"Fur","N","test34_IndolentIzzy",NA,NA
"Blubber","N","test34_IndolentIzzy",NA,NA
"Ultrasound.skull.depth_cm","2.48","test34_IndolentIzzy",NA,NA
"Recording.Duration_s","0","test34_IndolentIzzy",NA,NA
"Recording.Duration_days","0","test34_IndolentIzzy",NA,NA
"Recording.Duration_based.on.start.stop","5.83125","test34_IndolentIzzy",NA,NA
"Begin.Calm.in.Water.for.ICA","4/28/2021 13:16","test34_IndolentIzzy",NA,NA
"End.Calm.in.Water.for.ICA","4/28/2021 13:36","test34_IndolentIzzy",NA,NA
"Duration.for.ICA","pruned 7 and 9; raw 6 and 9","test34_IndolentIzzy",NA,NA
"Best.EOG.EMG.EEG","3,5,6,9","test34_IndolentIzzy",NA,NA
"ICA.Decomposition.Quality","OK","test34_IndolentIzzy",NA,NA
"ICA.Component.Maximal.Brain","4","test34_IndolentIzzy",NA,NA
"ICA.Component.Maximal.Heart","6","test34_IndolentIzzy",NA,NA
"Pruned.with.ICA.Components","1,2,3,6","test34_IndolentIzzy",NA,NA
